	artist	fans	rank	2015_shows	2014_shows	2013_shows	2012_shows	2011_shows	miles	all_shows	familiarity	hotttnesss	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	reggae	latin	classical	country	jazz	punk	electro house	pop	r&b	hip hop	rock	world	metal	blues	folk	bon_counts	ult_counts	acl_counts	han_counts	gba_counts	sas_counts	coa_counts	sxs_counts	bea_counts	noi_counts	genre_pick
/artists/240148-patti-labelle	Patti Labelle	37374.0	2679.0	39.0	31.0	13.0	33.0	24.0	221381.0	243.0	0.687932	0.615492	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333333333	0.0833333333333	0.75	0.0	0.0833333333333	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	0	8
/artists/468973-graveyard	Graveyard	16203.0	5401.0	12.0	34.0	42.0	29.0	36.0	150337.0	193.0	0.516861	0.612043	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.6	0.0	0.0	0	0	0	0	0	0	1	0	0	0	12
/artists/2341989-sonny-and-the-sunsets	Sonny & The Sunsets	9109.0	8314.0	42.0	17.0	33.0	28.0	48.0	156255.0	228.0	0.478857	0.532563	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	2	0
/artists/41063-fedde-le-grand	Fedde le Grand	104972.0	982.0	45.0	64.0	72.0	51.0	35.0	743843.0	384.0	0.685553	0.679555	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	2	0	0	0	0	2	0	0	0	6
/artists/674303-temper-trap	The Temper Trap	403730.0	148.0	3.0	15.0	25.0	110.0	1.0	550622.0	431.0	0.61413	0.673347	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.285714285714	0.428571428571	0.0	0.0	0.285714285714	0.0	0.0	0.0	0.0	2	0	1	0	0	1	1	0	0	0	7
/artists/152978-riff-raff	Riff Raff	25308.0	3730.0	74.0	69.0	76.0	37.0	35.0	500581.0	376.0	0.574054	0.618638	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	9
/artists/221541-dieselboy	Dieselboy	8541.0	8699.0	47.0	36.0	48.0	52.0	45.0	499093.0	320.0	0.54495	0.509023	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0	8
/artists/360904-b52s	The B-52's	139382.0	736.0	21.0	0.0	48.0	53.0	51.0	461137.0	503.0	0.670304	0.584857	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0833333333333	0.0833333333333	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	1	0	10
/artists/497029-shins	The Shins	409810.0	145.0	0.0	0.0	17.0	95.0	9.0	392601.0	354.0	0.735337	0.608974	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.466666666667	0.0	0.0	0.2	0.0	0.0	0.0	0.333333333333	1	0	1	1	0	1	1	0	0	0	7
/artists/3547541-roo-panes	Roo Panes	11688.0	6919.0	16.0	16.0	11.0	22.0	8.0	16151.0	75.0	0.43279	0.595227	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	1	0	0	0
