	bon_2015	ult_2015	sxs_2015	coa_2015	han_2015	sas_2015	gba_2015	acl_2015	noi_2015	bea_2015	artist	fans
/artists/156783-serena-ryder	0	0	0	0	0	0	0	0	0	0	Serena Ryder	26403.0
/artists/587652-dubfire	0	0	0	1	0	0	0	0	0	0	Dubfire	14481.0
/artists/317223-lee-scratch-perry	0	0	0	0	0	0	0	0	0	0	"Lee ""Scratch"" Perry"	26678.0
/artists/398921-alexi-murdoch	0	0	0	0	0	0	0	0	0	0	Alexi Murdoch	77670.0
/artists/2331579-conor-oberst	0	0	0	0	0	0	1	0	0	0	Conor Oberst	46316.0
/artists/252248-ice-cube	0	0	0	0	0	0	0	0	0	0	Ice Cube	222879.0
/artists/4467063-2-chainz	0	0	0	0	0	0	0	0	0	0	2 Chainz	245775.0
/artists/2315703-she-and-him	0	0	0	0	0	0	0	0	0	0	She & Him	185529.0
/artists/2582651-mac-miller	0	0	0	0	0	0	0	0	0	0	Mac Miller	330996.0
/artists/595947-florence-and-the-machine	1	0	0	1	0	0	1	0	0	0	Florence and the Machine	479473.0
/artists/496981-alice-in-chains	0	0	0	0	0	0	0	0	0	0	Alice In Chains	277586.0
/artists/4601908-alabama-shakes	1	0	0	1	0	0	0	1	0	1	Alabama Shakes	198494.0
/artists/6395144-milky-chance	0	0	0	1	0	1	0	0	0	0	Milky Chance	126903.0
/artists/287581-doldrums	0	0	0	0	0	0	0	0	0	0	Doldrums	7404.0
/artists/8191238-mr-twin-sister	0	0	0	0	0	0	0	0	0	0	Mr Twin Sister	33505.0
/artists/414655-martin-solveig	0	0	0	1	0	0	0	0	0	0	Martin Solveig	160705.0
/artists/795719-white-lung	0	0	0	0	0	0	1	0	0	0	White Lung	7073.0
/artists/65207-friendly-fires	0	0	0	0	0	0	0	0	0	0	Friendly Fires	178576.0
/artists/375762-nosaj-thing	0	0	0	0	0	0	0	0	0	0	Nosaj Thing	43374.0
/artists/2434466-colourist	0	0	0	0	0	0	0	0	0	0	The Colourist	23830.0
/artists/67574-lovelife	0	0	0	0	0	0	0	0	0	0	Lovelife	10408.0
/artists/645824-love-language	0	0	0	0	0	0	0	0	0	0	The Love Language	10719.0
/artists/17885-leftfield	0	0	0	0	0	0	0	0	0	0	Leftfield	65454.0
/artists/116729-asgeir	0	0	0	0	0	0	0	0	0	0	Ásgeir	25470.0
/artists/80241-dead-prez	0	0	0	0	0	0	0	0	0	0	Dead Prez	60866.0
/artists/1987199-kimbra	0	0	0	1	0	0	0	0	0	0	Kimbra	128938.0
/artists/323158-cribs	0	0	0	1	0	0	0	0	0	0	The Cribs	75535.0
/artists/154576-bob-mould	0	0	0	0	0	0	0	0	0	0	Bob Mould	25106.0
/artists/3037156-cults	0	0	0	0	0	0	0	0	0	0	Cults	139444.0
/artists/112023-problem	0	0	0	0	0	0	0	0	0	0	Problem	26762.0
/artists/131520-laura-gibson	0	0	0	0	0	0	0	0	0	0	Laura Gibson	10048.0
/artists/606420-japanese-popstars	0	0	0	0	0	0	0	0	0	0	The Japanese Popstars	17146.0
/artists/271893-phoenix	0	0	0	0	0	0	0	0	0	0	Phoenix	558253.0
/artists/165191-manchester-orchestra	0	0	0	0	0	0	0	0	0	0	Manchester Orchestra	105089.0
/artists/2538236-neon-indian	0	0	0	0	0	0	0	0	0	0	Neon Indian	141129.0
/artists/578-spin-doctors	0	0	0	0	0	0	0	0	0	0	Spin Doctors	101953.0
/artists/188408-trust	0	0	0	0	0	0	0	0	0	0	Trust	17950.0
/artists/3631016-of-monsters-and-men	0	0	0	0	0	1	0	1	0	0	Of Monsters and Men	480701.0
/artists/550013-pet-shop-boys	0	0	0	0	0	0	0	0	0	0	Pet Shop Boys	151156.0
/artists/709988-jhene-aiko	0	0	0	0	0	0	0	0	0	0	Jhené Aiko	97857.0
/artists/501792-feist	0	0	0	0	0	0	0	0	0	0	Feist	370291.0
/artists/1056903-cloud-control	0	0	0	0	0	0	0	0	0	0	Cloud Control	35765.0
/artists/176100-bliss-n-eso	0	0	0	0	0	0	0	0	0	0	Bliss N Eso	28180.0
/artists/192341-asobi-seksu	0	0	0	0	0	0	0	0	0	0	Asobi Seksu	27627.0
/artists/5212623-max-frost	0	0	0	0	0	0	0	0	0	0	Max Frost	14000.0
/artists/569595-bronze-radio-return	0	0	0	0	0	0	0	0	0	0	Bronze Radio Return	23137.0
/artists/363808-city-and-colour	0	0	0	0	0	0	0	0	0	0	City and Colour	209999.0
/artists/277454-two-fingers	0	0	0	0	0	0	0	0	0	0	Two Fingers	9496.0
/artists/538923-george-clinton-and-parliament-funkadelic	0	0	0	0	0	0	0	0	0	0	George Clinton & Parliament Funkadelic	9119.0
